Country,Location,Name,NameWoDiacritics,SubDiv,Function,Status,Coordinates
NL,RTM,Rotterdam,Rotterdam,,1-3-----,AI,5155N 00429E
NL,AMS,Amsterdam,Amsterdam,,1-3-----,AI,5222N 00454E
DE,HAM,Hamburg,Hamburg,,1-3-----,AI,5333N 00959E
BE,ANR,Antwerpen,Antwerpen,,1-3-----,AI,5113N 00424E
NO,OSL,Oslo,Oslo,,1-3-----,AI,5954N 01044E
NO,BGO,Bergen,Bergen,,1-3-----,AI,6023N 00519E
NO,SVG,Stavanger,Stavanger,,1-3-----,AI,5858N 00544E
ES,BCN,Barcelona,Barcelona,,1-3-----,AI,4121N 00210E
ES,VLC,Valencia,Valencia,,1-3-----,AI,3926N 00019W
ES,ALG,Algeciras,Algeciras,,1-3-----,AI,3608N 00527W
DZ,ALG,Alger,Alger,,1-3-----,AI,3645N 00304E
GR,PIR,Piraeus,Piraeus,,1-3-----,AI,3745N 02338E
EG,ALY,Alexandria,Alexandria,,1-3-----,AI,3112N 02955E
EG,PSD,Port Said,Port Said,,1-3-----,AI,3115N 03218E
SG,SIN,Singapore,Singapore,,1-3-----,AI,0115N 10350E
MY,PKG,Port Klang,Port Klang,,1-3-----,AI,0300N 10124E
CN,SHA,Shanghai,Shanghai,,1-3-----,AI,3114N 12128E
AE,JEA,Jebel Ali,Jebel Ali,,1-3-----,AI,2500N 05504E
AE,DXB,Dubai,Dubai,,1-3-----,AI,2516N 05518E
IN,NSA,Nhava Sheva,Nhava Sheva,,1-3-----,AI,1857N 07257E
US,NYC,New York,New York,,1-3-----,AI,4040N 07402W
US,LAX,Los Angeles,Los Angeles,,1-3-----,AI,3344N 11816W
US,LGB,Long Beach,Long Beach,,1-3-----,AI,3345N 11813W
GB,FXT,Felixstowe,Felixstowe,,1-3-----,AI,5157N 00121E
TR,IST,Istanbul,Istanbul,,1-3-----,AI,4100N 02859E
